serial,wage,nonlaborinc,hoursworked
2884,26.495726,25605,2340
2892,13.663968,13184,1976
2899,19.23077,13,2600
2904,39.0625,227712,640
2905,14.529915,200,2340
2907,.57692307,67756,2080
2914,61.53846,47758,2600
2915,0,-5797,858
2916,52.884617,506,2080
2919,18.990385,47004,2080
2940,31.25,15010,1920
2941,0,100600,2500
2942,23.51923,75479,2600
2944,11.538462,19528,520
2945,14.616154,35002,2600
2946,14.423077,132583,2080
2947,33.46154,52424,2600
2948,0,165725,1400
2949,13.541667,128467,960
2950,16.826923,12865,2080
2963,31.25,76620,2080
2966,17.788462,30800,2080
2984,17.361111,50,2880
2998,18.701298,72067,1925
3004,16.483517,45000,1820
3011,0,40050,1560
3013,28.846153,16304,1040
3028,10.769231,0,2080
3029,44.23077,2020,2600
3033,17.307692,63081,2600
3036,24.038462,16006,2080
3039,15.384615,29060,2080
3051,27.884615,34000,2080
3055,12.019231,7455,2080
3056,9.89011,0,910
3058,14.423077,0,2080
3071,87.41259,27581,2860
3073,0,9200,1560
3076,28.846153,51675,2080
3077,26.442308,15,2080
3078,23.076923,48005,2600
3083,28.846153,25,2080
3084,8.333333,35651,3120
3086,38.46154,100583,2080
3088,15.384615,25000,780
3089,28.846153,1520,2080
3090,21.153847,22521,2600
3092,26.923077,920,2080
3093,28.846153,3415,2080
3103,25,352654,1200
3108,40.192307,40254,2600
3113,32.702019,17520,792
3115,16.826923,0,2080
3116,57.692307,2006,2600
3119,20,13,2050
3127,14.676113,61277,1976
3130,43.26923,14039,3120
3132,19.375,110,1600
3136,38.919415,207654,2184
3137,71.428574,76287,700
3143,48.077885,0,2080
3146,32.051281,124,2340
3148,49.145298,5910,2340
3150,19.23077,216000,2080
3151,28.846153,832,3640
3152,59.44091,49301,2860
3154,30.448717,47866,1872
3159,28.846153,42000,2184
3160,12.980769,5495,2080
3165,27.884615,6130,2080
3166,42.30846,33000,2600
3171,7.2115383,32478,2080
3174,14.319231,79798,2600
3178,103.87917,1369,960
3179,28.888889,10,2250
3180,0,46000,1040
3181,48.46154,3002,2600
3182,13.461538,5,1560
3187,28.125,5275,1280
3191,26.442308,141429,2080
3201,23.076923,0,2080
3203,27.777779,72427,900
3205,15.384615,58016,1820
3209,8.5714283,8403,3276
3212,34.188034,0,2340
3215,38.46154,70569,2080
3216,5.9523811,48674,1680
3219,17.482517,14003,2860
3221,2.909091,102830,2750
3231,14.17004,35000,1976
3232,27.619047,4,1050
3233,1.5508685,25000,3224
3236,12.5,47257,1040
3238,19.23077,4608,2080
3240,20.192308,3005,2080
3241,29.807692,18012,2080
3242,48.076923,12038,2080
3243,19.23077,39500,2080
3244,23.076923,98534,2600
3245,28.846153,60496,2496
3246,43.076923,109243,2600
3251,8.0419579,20000,2860
3252,30.76923,70210,2600
3253,13.461538,34420,2600
3254,103.87917,1369,960
3258,44.71154,1493,2080
3262,52.884617,0,2080
3263,29.807692,92730,2080
3269,22.548077,43485,2080
3270,31.25,30177,2080
3274,15.384615,1131,2080
3276,60.096153,58,1664
3277,12.019231,0,2080
3280,37.5,10156,1600
3281,31.25,34624,2080
3282,22.596153,50130,2080
3283,76.92308,18715,2080
3284,0,33000,1300
3288,53.939392,24000,1650
3289,36.057693,102438,2080
3293,12.5,77239,2080
3294,11.71875,2,1280
3298,14.423077,0,2080
3300,38.46154,4001,2600
3302,0,80000,2080
3307,26.923077,68140,2600
3309,19.23077,16275,2080
3312,38.46154,3,2080
3319,48.076923,58,2080
3321,0,-5792,858
3326,0,201218,3640
3345,15.384615,61021,2600
3347,25,1881,2080
3348,14.423077,15,2080
3350,60.096153,70,2080
3351,133.97437,408,1560
3356,38.46154,80004,1560
3358,25,50002,2000
3360,46.153847,3,2600
3361,35.576923,104,2080
3362,10.256411,8000,1560
3363,31.923845,40293,2600
3364,24.038462,27197,2080
3366,21.978022,50470,1820
3367,23.076923,42110,2080
3368,23.558655,3,2080
3369,72.743752,22508,800
3370,2.4038463,3133,1664
3371,30.048077,51617,1664
3372,24.279327,169615,4160
3373,36.057693,153230,2080
3374,55.473373,6290,2704
3376,19.23077,85180,2080
3377,38.46154,3982,2080
3378,23.076923,131762,2080
3379,13.461538,11,2080
3380,7.1111112,0,675
3381,38.46154,8528,2080
3382,26.442308,1850,2080
3384,21.875,0,2080
3385,0,74021,1248
3392,18.921329,60137,2860
3393,14.967949,50722,3120
3395,30,41680,2080
3398,19.23077,82729,2080
3400,79.32692,44119,2080
3410,25.48077,1004,2080
3411,18.218624,59314,1976
3420,.96153843,0,2080
3422,24.038462,52494,2080
3424,59.134617,18003,2080
3434,22.727272,24002,2860
3436,16,55210,525
3438,8.1730766,0,2080
3439,25,0,2080
3440,28.846153,30497,2080
3449,12.019231,0,2080
3451,10.2,47483,2080
3461,16.836735,3503,1960
3468,36.057693,88423,1664
3469,44.23077,16168,2080
3471,21.634615,70814,2080
3472,20.673077,40000,2080
3473,28.846153,99088,2080
3474,53.846153,10552,2600
3476,50.167225,38199,2392
3477,28.232407,20171,2444
3478,27.884615,53423,2080
3484,6.25,8001,2080
3485,24.038462,22235,2080
3486,24.038462,7100,2080
3494,28.846153,41016,2080
3503,38.46154,55033,2080
3505,15.384615,18405,2080
3511,5.8010354,23745,1352
3520,19.331623,2,2340
3527,36.658653,15,1664
3528,15.228572,1401,350
3531,37.790699,66072,1720
3534,24.294231,1,2080
3538,14.424039,1853,2080
3539,23.076923,32162,2600
3541,16.25,0,800
3542,19.23077,15360,1664
3544,24.954212,116,2184
3548,38.46154,90208,2080
3564,0,74012,2600
3567,42.307693,500,2080
3569,25,120089,1200
3575,21.153847,0,2080
3582,16.826923,88041,832
3591,19.23077,25000,2080
3608,30.048077,91704,1664
3641,69.230766,13398,1040
3645,14,50122,1040
3665,12.820513,120011,780
3673,29.411764,2446,1360
3674,44,16522,2500
3675,24.038462,282697,1040
3683,32.051281,50010,3120
3684,21.978022,5005,3640
3685,19.423077,6007,2600
3687,15.625,1616,1600
3688,25,75240,520
3690,14.423077,10,2080
3692,51.324787,102121,2340
3693,16.666666,95205,2100
3700,28.846153,60080,2080
3709,6.25,0,160
3711,12.820513,0,390
3724,49.166668,14,2400
3725,50.76923,101499,2080
3726,25,30015,2080
3727,0,76182,3640
3732,14.690171,45896,3744
3735,48.076923,70168,3120
3737,19.23077,84357,1040
3740,15.196078,2100,1020
3745,14.423077,0,2080
3747,22.222221,14400,1800
3751,48.076923,19634,2080
3754,125,94500,1040
3759,0,66500,1300
3760,0,30020,3120
3767,10.096154,0,2080
3768,8.9285717,26953,1456
3770,27.972029,49049,2860
3774,19.58042,2883,2860
3776,16.153847,0,2600
3777,24.039423,32061,2080
3778,27.403847,42000,2080
3780,18.376068,12040,2340
3781,25,10235,2080
3785,21,0,2080
3786,18,2,2080
3789,120.19231,48,2080
3793,34.615383,150331,1560
3794,0,191670,780
3795,100,11897,2080
3797,14.423077,0,2080
3801,18.092106,5091,608
3804,32.051281,43,2340
3805,352.56378,40301,3120
3807,18.491125,74438,2704
3808,27.546778,288,1924
3810,18.75,40800,2080
3828,4.8076925,30018,2080
3836,14.285714,61115,1820
3838,19.23077,3,2080
3842,11.538462,106640,2080
3844,34.786324,74210,2340
3848,11.904762,0,1260
3849,48.076923,75626,2080
3851,31.376518,103238,1976
3852,43.26923,214891,1248
3853,14.423077,3600,2080
3854,66.918922,205437,185
3855,22.913258,12911,2444
3857,27.403847,17659,2080
3858,20.673077,8228,2080
